normalizer,source_token,class_sequence
PHONO-WG-v1/ReN,stralow,S T R A L O W
PHONO-WG-v1/ReN,eigendu,E I K E N T U
PHONO-WG-v1/ReN,me,M E
PHONO-WG-v1/ReN,gerechticheit,K E R E X T I X E I T
PHONO-WG-v1/ReN,aller,A L L E R
PHONO-WG-v1/ReN,tubehoringhe,T U P E H O R I N K H E
PHONO-WG-v1/ReN,guder,K U T E R
PHONO-WG-v1/ReN,gewonheit,K E W O N H E I T
PHONO-WG-v1/ReN,Nutte,N U T T E
PHONO-WG-v1/ReN,fromen,F R O M E N
PHONO-WG-v1/ReN,allem,A L L E M
PHONO-WG-v1/ReN,rechte,R E X T E
PHONO-WG-v1/ReN,tu,T U
PHONO-WG-v1/ReN,besittene,P E S I T T E N E
PHONO-WG-v1/ReN,alse,A L S E
PHONO-WG-v1/ReN,eynen,E I N E N
PHONO-WG-v1/ReN,rechten,R E X T E N
PHONO-WG-v1/ReN,eygendume,E I K E N T U M E
PHONO-WG-v1/ReN,lehne,L E H N E
PHONO-WG-v1/ReN,guden,K U T E N
PHONO-WG-v1/ReN,geweren,K E W E R E N
PHONO-WG-v1/ReN,wente,W E N T E
PHONO-WG-v1/ReN,an,A N
PHONO-WG-v1/ReN,desser,T E S S E R
PHONO-WG-v1/ReN,kegenwordige,K E K E N W O R T I K E
PHONO-WG-v1/ReN,tijd,T I J T
PHONO-WG-v1/ReN,van,F A N
PHONO-WG-v1/ReN,vnses,F N S E S
PHONO-WG-v1/ReN,hern,H E R N
PHONO-WG-v1/ReN,des,T E S
PHONO-WG-v1/ReN,marggreuen,M A R K K R E U E N
PHONO-WG-v1/ReN,gnaden,K N A T E N
PHONO-WG-v1/ReN,rowliken,R O W L I K E N
PHONO-WG-v1/ReN,fredeliken,F R E T E L I K E N
PHONO-WG-v1/ReN,beseten,P E S E T E N
PHONO-WG-v1/ReN,gehat,K E H A T
PHONO-WG-v1/ReN,vtwisunge,F T W I S U N K E
PHONO-WG-v1/ReN,lude,L U T E
PHONO-WG-v1/ReN,egenanten,E K E N A N T E N
PHONO-WG-v1/ReN,gnedi,K N E T I
PHONO-WG-v1/ReN,handuesten,H A N T U E S T E N
PHONO-WG-v1/ReN,sunderlike,S U N T E R L I K E
PHONO-WG-v1/ReN,Briue,P R I U E
PHONO-WG-v1/ReN,vtgenomen,F T K E N O M E N
PHONO-WG-v1/ReN,ouerste,O U E R S T E
PHONO-WG-v1/ReN,gerichte,K E R I X T E
PHONO-WG-v1/ReN,vp,F P
PHONO-WG-v1/ReN,vorbenumeden,F O R P E N U M E T E N
PHONO-WG-v1/ReN,seluen,S E L U E N
PHONO-WG-v1/ReN,gewaldich,K E W A L T I X
PHONO-WG-v1/ReN,mechtich,M E X T I X
PHONO-WG-v1/ReN,willen,W I L L E N
PHONO-WG-v1/ReN,bliu,P L I U
PHONO-WG-v1/ReN,wan,W A N
PHONO-WG-v1/ReN,sich,S I X
