a,b,count_a,count_b,family_obs_a,family_obs_b,family_cosine,shared_families
chdy,chal,108,59,112,55,0.3336625515205745,23
chal,qo,59,51,55,56,0.3336625515205745,17
cthor,l,45,156,41,144,0.3336490446592093,16
shol,ain,176,149,179,105,0.33349281729311325,27
shody,cthol,50,55,44,40,0.33333333333333326,8
chor,oly,215,65,199,37,0.33311078963433033,16
shol,char,176,79,179,74,0.33287837565982875,24
kchy,dar,36,287,35,245,0.33285439775544406,10
chody,qo,80,51,87,56,0.3327887733299383,14
dain,daly,173,33,145,25,0.3326543646596706,10
qo,dor,51,63,56,69,0.33253977091332537,12
dal,chl,190,33,138,30,0.33244498490712016,14
chor,qol,215,147,199,143,0.33239952284524327,18
shol,oly,176,65,179,37,0.33236574541889585,15
shey,dal,344,190,382,138,0.33221843681048163,46
dain,shey,173,344,145,382,0.33184096023279747,43
shol,o,176,114,179,86,0.3317718557573091,20
cthor,chos,45,42,41,44,0.33173989404362175,7
shody,dair,50,93,44,76,0.33166938169595755,15
kol,chedy,35,341,32,408,0.33166068773231516,16
chal,ches,59,44,55,45,0.33155726515211154,13
tol,chedy,42,341,46,408,0.3312822342385398,17
chol,cthey,367,47,365,47,0.3312652776121659,30
kol,qol,35,147,32,143,0.3312111350128228,10
kchy,l,36,156,35,144,0.33111080016715966,6
chal,chody,59,80,55,87,0.3310837695916073,12
chal,cthey,59,47,55,47,0.33072537342610564,13
d,dal,53,190,32,138,0.3305831625830131,8
dar,cho,287,77,245,58,0.33043330655566316,19
dal,chedy,190,341,138,408,0.33041357231159196,41
ain,cthey,149,47,105,47,0.33034020649321816,12
chal,chl,59,33,55,30,0.3303360556061336,14
kol,dair,35,93,32,76,0.3302643172229922,8
cthy,dar,100,287,71,245,0.33014156872252587,20
sal,dy,48,204,42,144,0.33005801612881525,16
shar,chal,34,59,24,55,0.3296902366978935,9
ar,dol,449,97,400,91,0.3291841739271062,29
shol,qol,176,147,179,143,0.32881371213007926,22
oky,chedy,103,341,92,408,0.3281529889390824,24
s,dal,328,190,285,138,0.32803085295120316,31
dal,chcthy,190,84,138,88,0.32793839447603695,37
dol,air,97,95,91,76,0.327737791994618,9
shey,tol,344,42,382,46,0.3275786715889752,20
r,al,196,311,180,250,0.3275338101134752,39
sho,l,118,156,124,144,0.326968868482763,27
shey,dar,344,287,382,245,0.32692002422890054,50
chody,cthey,80,47,87,47,0.32671776994646434,15
ar,key,449,33,400,36,0.3265326728364642,16
dor,qoky,63,137,69,113,0.3264509176312719,15
shey,qoky,344,137,382,113,0.3264500756149235,39
oky,am,103,115,92,39,0.3264062192355624,12
kol,cthey,35,47,32,47,0.3262313393781364,9
y,kchy,210,36,185,35,0.32611556872995645,16
