a,b,count_a,count_b,family_obs_a,family_obs_b,family_cosine,shared_families
cthor,oty,45,114,41,79,0.28501314530596455,10
sho,shedy,118,255,124,298,0.2847632799491676,37
s,oly,328,65,285,37,0.2846347546974068,17
ckhy,chckhy,38,141,29,156,0.2845213189769458,11
ol,shckhy,588,55,628,67,0.2843173549928235,33
s,oty,328,114,285,79,0.2842897697573131,17
chor,o,215,114,199,86,0.284261242008128,13
ol,chedy,588,341,628,408,0.28418823116238434,77
char,sol,79,63,74,76,0.28392986215849314,9
she,chcthy,41,84,34,88,0.28388748697883437,13
cheo,kar,75,58,58,47,0.28386659691340876,3
char,qoty,79,84,74,72,0.28378378378378377,14
dol,dair,97,93,91,76,0.2837795965627758,9
chl,sar,33,77,30,49,0.2837170351550145,8
char,dor,79,63,74,69,0.2837001447227831,11
am,dy,115,204,39,144,0.28360293018509053,8
am,sal,115,48,39,42,0.2832856927186044,4
chal,shor,59,91,55,87,0.2831269618025617,14
chor,tar,215,43,199,36,0.2831155593458762,10
sho,chedy,118,341,124,408,0.28310738805726504,29
dal,shedy,190,255,138,298,0.2829905511233985,33
oly,sol,65,63,37,76,0.28269851531384527,7
chol,oly,367,65,365,37,0.2826470412561287,21
cho,al,77,311,58,250,0.28242837087759604,23
al,chcthy,311,84,250,88,0.28232122778752833,38
cthey,qoty,47,84,47,72,0.2822742201107156,10
s,dol,328,97,285,91,0.28191341758991334,23
chey,sheo,510,46,581,35,0.28172081473824384,25
qo,sol,51,63,56,76,0.28157560385073005,11
chy,daly,197,33,151,25,0.281449903386634,11
chol,qol,367,147,365,143,0.28144556439494467,30
sho,dol,118,97,124,91,0.2813628547791591,18
ol,shy,588,94,628,82,0.28127204223451746,34
chol,ckhy,367,38,365,29,0.2811329999894473,16
shey,oky,344,103,382,92,0.2810359361390878,24
chal,kchy,59,36,55,35,0.2809613029891601,7
chal,she,59,41,55,34,0.2809003238667948,11
al,sal,311,48,250,42,0.28055734754244827,20
dy,o,204,114,144,86,0.28053210626755104,19
kchy,cthey,36,47,35,47,0.28050536489530137,8
dy,chos,204,42,144,44,0.2804272056936863,13
chdy,shor,108,91,112,87,0.28020063649858984,21
cthy,chedy,100,341,71,408,0.2801950115555996,21
kchy,qo,36,51,35,56,0.2798866861070053,8
shol,cho,176,77,179,58,0.279673981182371,17
oty,shckhy,114,55,79,67,0.27967105989950675,14
or,oky,390,103,407,92,0.27960179710795363,27
dar,shy,287,94,245,82,0.279173072434016,24
char,shy,79,94,74,82,0.2790404591875126,14
r,oty,196,114,180,79,0.2789502246112602,12
sor,oty,43,114,47,79,0.2787728209748678,9
shckhy,key,55,33,67,36,0.27874733666903023,8
tol,o,42,114,46,86,0.2786932057166471,10
shor,qoty,91,84,87,72,0.2786070355419245,11
cthey,chcthy,47,84,47,88,0.2785353236384915,15
tar,oty,43,114,36,79,0.2779150536832552,7
shar,shor,34,91,24,87,0.27783625115549687,8
cthy,oty,100,114,71,79,0.2778336415026898,14
chey,qol,510,147,581,143,0.2775609803000228,46
shody,kar,50,58,44,47,0.27753483809054413,8
chor,chey,215,510,199,581,0.2773626069236322,49
oky,ckhy,103,38,92,29,0.2771809306079386,9
chor,kar,215,58,199,47,0.2770713785329542,14
dair,shor,93,91,76,87,0.2769074001478755,22
chol,cheo,367,75,365,58,0.27675076018436323,19
chey,ckhy,510,38,581,29,0.27648948035075993,12
dal,ches,190,44,138,45,0.2764727353098108,14
dy,lor,204,38,144,42,0.27629564910487764,10
dol,cheo,97,75,91,58,0.2762910419814062,12
shey,kal,344,30,382,27,0.2760676749290051,18
kchy,ain,36,149,35,105,0.27562276884912323,4
ar,chey,449,510,400,581,0.2751785225881276,81
char,shcthy,79,30,74,36,0.27509212216215073,10
d,chl,53,33,32,30,0.2750095491084634,4
she,oty,41,114,34,79,0.27500954910846337,11
dair,cthey,93,47,76,47,0.27494116888411485,15
chor,cthey,215,47,199,47,0.27487387804979646,17
al,oty,311,114,250,79,0.27484619325852333,26
oky,qo,103,51,92,56,0.2746949527624611,12
chey,dair,510,93,581,76,0.27416661869643727,30
she,qoty,41,84,34,72,0.27399831217559545,10
shor,chedy,91,341,87,408,0.2735874720598801,27
shey,shor,344,91,382,87,0.27358473666548894,34
sho,ain,118,149,124,105,0.27343501732794745,16
r,oly,196,65,180,37,0.27341589310671044,11
kal,shor,30,91,27,87,0.273318287437701,9
kal,shedy,30,255,27,298,0.27282919974351844,12
chcthy,qoky,84,137,88,113,0.2727456013670862,25
dain,sho,173,118,145,124,0.27247026565960747,21
cho,l,77,156,58,144,0.2724146449105999,19
ckhey,oty,32,114,32,79,0.272245563891909,10
or,she,390,41,407,34,0.27158623420313505,9
dair,oty,93,114,76,79,0.2715600901612974,17
d,sol,53,63,32,76,0.27151823034599865,7
dor,o,63,114,69,86,0.2714041947806401,11
chckhy,qol,141,147,156,143,0.27130234663719127,24
qoty,kar,84,58,72,47,0.2711411945797695,13
shody,ckhy,50,38,44,29,0.27105237087157535,7
char,cthey,79,47,74,47,0.270983251306287,13
cthol,sor,55,43,40,47,0.2709184847824625,7
shol,lor,176,38,179,42,0.27086816944298076,9
kol,she,35,41,32,34,0.2708333333333333,6
shar,am,34,115,24,39,0.27080128015453203,8
shey,chal,344,59,382,55,0.2707941342924948,24
kal,key,30,33,27,36,0.2707651805369412,7
ol,oty,588,114,628,79,0.27064128913990027,34
kal,qoky,30,137,27,113,0.27042395144039133,10
ckhy,qo,38,51,29,56,0.27028123880866767,7
kol,l,35,156,32,144,0.2700179345647159,13
s,cthor,328,45,285,41,0.2699014707838197,16
d,cthol,53,55,32,40,0.2698412698412698,5
she,daly,41,33,34,25,0.26940795304016235,6
kol,daly,35,33,32,25,0.2694079530401623,5
chy,oty,197,114,151,79,0.26934551121798206,18
chol,chos,367,42,365,44,0.26932804261369486,12
dal,oty,190,114,138,79,0.26908754030246895,16
chckhy,air,141,95,156,76,0.2690437620976049,18
dol,shckhy,97,55,91,67,0.2686979714043089,13
dol,kar,97,58,91,47,0.2684712310845391,9
oty,sar,114,77,79,49,0.2683093915148497,6
y,sal,210,48,185,42,0.2682590243306957,17
sho,ody,118,38,124,29,0.2681296162758981,9
qo,air,51,95,56,76,0.2680393547481039,12
ar,she,449,41,400,34,0.26801177536328735,15
char,chl,79,33,74,30,0.26784484035643547,8
tar,qoky,43,137,36,113,0.2677953099824562,10
kal,oly,30,65,27,37,0.26773977630083295,5
kal,sol,30,63,27,76,0.2676169317078552,7
dor,kar,63,58,69,47,0.2675861370088349,10
shol,chos,176,42,179,44,0.2675083628546441,10
oly,l,65,156,37,144,0.2674363334210978,8
d,cthor,53,45,32,41,0.26743185236191797,4
r,key,196,33,180,36,0.2670791145999501,11
s,qo,328,51,285,56,0.26706711583678255,14
dol,chckhy,97,141,91,156,0.26672085369251225,18
cthey,l,47,156,47,144,0.26654376077392383,15
oty,o,114,114,79,86,0.2664587111694745,9
daly,chedy,33,341,25,408,0.2663911363553456,12
y,chos,210,42,185,44,0.2663810606321346,10
shor,oty,91,114,87,79,0.26631931594745634,12
chckhy,shcthy,141,30,156,36,0.26627685093627235,12
r,dy,196,204,180,144,0.2662287108148092,29
ain,chedy,149,341,105,408,0.2661076112970048,35
char,cho,79,77,74,58,0.2659139806946032,8
dain,sar,173,77,145,49,0.2658452316951361,15
shckhy,daly,55,33,67,25,0.26567225673958283,7
cthol,oly,55,65,40,37,0.26560635762986523,7
cthy,sheo,100,46,71,35,0.2655280235320201,8
oky,sor,103,43,92,47,0.2654035123924397,8
kchy,tol,36,42,35,46,0.2652226061808326,5
shol,tar,176,43,179,36,0.2648580734092408,13
sal,oty,48,114,42,79,0.2648105012358155,9
dain,cheo,173,75,145,58,0.2647338457561188,12
chor,lor,215,38,199,42,0.26472223989241933,8
cthor,qol,45,147,41,143,0.2647076361914385,10
y,chl,210,33,185,30,0.26443138561072055,10
sheo,dy,46,204,35,144,0.2643809831213286,13
chey,cthol,510,55,581,40,0.2642076049144016,17
shody,kal,50,30,44,27,0.2640084484055256,5
ckhey,chcthy,32,84,32,88,0.263828093951146,15
al,sheo,311,46,250,35,0.2637230597959134,19
chl,l,33,156,30,144,0.26371839147389226,9
chal,chcthy,59,84,55,88,0.2636437163167711,16
tol,sar,42,77,46,49,0.26352531567571075,8
chody,sal,80,48,87,42,0.2635181178549165,12
shol,d,176,53,179,32,0.26348416428246985,9
cho,kar,77,58,58,47,0.263477399713271,10
qo,shy,51,94,56,82,0.2631806779839076,10
sho,tol,118,42,124,46,0.26311740579210874,9
sheo,chckhy,46,141,35,156,0.2628796132394268,11
ckhey,dor,32,63,32,69,0.262821022499802,6
shey,daly,344,33,382,25,0.26260095907880965,16
chy,shckhy,197,55,151,67,0.26258325961596213,25
cthy,ckhy,100,38,71,29,0.26239752097989305,10
ar,chody,449,80,400,87,0.26222749289914915,27
chl,o,33,114,30,86,0.261922994512232,5
chol,shey,367,344,365,382,0.2615714634150507,70
sho,oty,118,114,124,79,0.2615156459876071,17
shol,kal,176,30,179,27,0.26151437484298223,12
ckhey,shckhy,32,55,32,67,0.26148818018424536,7
l,chedy,156,341,144,408,0.26126220659242005,37
sor,chckhy,43,141,47,156,0.2612563912343281,15
shey,ody,344,38,382,29,0.2611376558264936,14
dar,ody,287,38,245,29,0.2610014313879751,16
kol,oly,35,65,32,37,0.2608745973749755,6
ckhy,shy,38,94,29,82,0.2608202654786505,10
shor,qoky,91,137,87,113,0.26037115340733374,15
qoty,key,84,33,72,36,0.2602328384757201,8
kchy,chody,36,80,35,87,0.26020942637466643,7
kol,ody,35,38,32,29,0.26020824993326663,6
or,key,390,33,407,36,0.26020459013658914,15
sho,chdy,118,108,124,112,0.26003556029607294,22
char,qol,79,147,74,143,0.25987869972447425,12
chal,cho,59,77,55,58,0.25963080785400416,11
am,oty,115,114,39,79,0.25957596025900587,8
sho,qol,118,147,124,143,0.2595615566444785,23
chal,daly,59,33,55,25,0.25946325003864623,8
kal,sal,30,48,27,42,0.25941664685011806,6
chol,chedy,367,341,365,408,0.2592955678998485,59
chody,chcthy,80,84,87,88,0.25924320035314313,15
cho,dair,77,93,58,76,0.25900594339123895,11
shody,oly,50,65,44,37,0.25896619868911863,6
y,sheo,210,46,185,35,0.2588624129713425,19
shar,dol,34,97,24,91,0.25884681771633977,6
dair,kal,93,30,76,27,0.2588387888443729,8
shey,ain,344,149,382,105,0.2586721513192678,35
oky,qol,103,147,92,143,0.2586324446717377,17
chy,sor,197,43,151,47,0.2584216991282577,14
tol,shedy,42,255,46,298,0.25807010675490194,13
oky,o,103,114,92,86,0.2577533216170866,16
dor,shckhy,63,55,69,67,0.2577172158286344,7
shol,am,176,115,179,39,0.25768811003873654,10
dar,daly,287,33,245,25,0.2576184825961838,10
oly,shedy,65,255,37,298,0.25732546547018315,11
qoty,oly,84,65,72,37,0.2573251177328327,10
am,qoky,115,137,39,113,0.2571621206723081,10
chol,sheo,367,46,365,35,0.2571515316535329,20
r,she,196,41,180,34,0.2570560381280746,6
s,dy,328,204,285,144,0.25641566614072797,31
cthol,qo,55,51,40,56,0.25641129703418536,6
tol,oly,42,65,46,37,0.2559939058231545,7
d,dy,53,204,32,144,0.2559239653166381,8
dain,ches,173,44,145,45,0.25579251022450034,18
sho,cthey,118,47,124,47,0.2555622163859946,19
chy,oly,197,65,151,37,0.2555016799290683,12
dain,ody,173,38,145,29,0.25519669049507,11
chal,o,59,114,55,86,0.2550323673027163,12
chody,oly,80,65,87,37,0.25484862320390456,9
shol,sar,176,77,179,49,0.25477724091019827,10
sal,tar,48,43,42,36,0.2547719021193928,8
r,cthor,196,45,180,41,0.254737314098473,11
al,key,311,33,250,36,0.25457379457870694,17
dal,sal,190,48,138,42,0.2545336747471412,10
she,sar,41,77,34,49,0.2545139051903111,6
shey,oly,344,65,382,37,0.2542832113785233,13
shckhy,l,55,156,67,144,0.25386271404640504,14
sho,chal,118,59,124,55,0.25384446470841,16
chor,oty,215,114,199,79,0.25376093499076474,20
she,shor,41,91,34,87,0.25362863675089403,14
sal,chckhy,48,141,42,156,0.2535248466525176,12
dair,key,93,33,76,36,0.2534723885322655,10
kol,chcthy,35,84,32,88,0.2534709705168165,14
dol,oty,97,114,91,79,0.2534338307290487,14
she,sor,41,43,34,47,0.2534210374499761,7
shody,kchy,50,36,44,35,0.2533963820652714,9
dair,chcthy,93,84,76,88,0.2532681125647389,17
cthor,lor,45,38,41,42,0.25326278077284614,5
chal,sal,59,48,55,42,0.2529189909674716,9
oky,shckhy,103,55,92,67,0.2526697143974558,12
d,she,53,41,32,34,0.2524133951395119,4
dain,shcthy,173,30,145,36,0.2522624895547565,13
shor,cthor,91,45,87,41,0.252142554061404,13
chody,oty,80,114,87,79,0.2521093518844186,16
qol,chedy,147,341,143,408,0.2520774889398548,22
sho,shcthy,118,30,124,36,0.2520247676647744,8
chdy,sal,108,48,112,42,0.2519516299301344,12
am,shor,115,91,39,87,0.2518310500572651,11
kar,qoky,58,137,47,113,0.25139185464405017,15
dor,ches,63,44,69,45,0.25134651249315204,10
chdy,tol,108,42,112,46,0.251259453814803,15
cthor,sheo,45,46,41,35,0.2511537716003215,8
ches,chl,44,33,45,30,0.25092421756969363,5
chol,air,367,95,365,76,0.2509209940835828,21
shy,dor,94,63,82,69,0.2509160895481322,12
shy,qol,94,147,82,143,0.25088884859728755,14
dain,shckhy,173,55,145,67,0.2508726030021272,19
shey,air,344,95,382,76,0.2508676735580416,29
sheo,qoky,46,137,35,113,0.25082036561812515,13
shy,sol,94,63,82,76,0.25081779740824506,11
chey,cho,510,77,581,58,0.25056662256140916,35
char,dol,79,97,74,91,0.25055960727981935,15
ar,chol,449,367,400,365,0.2505345239904851,73
ar,qoky,449,137,400,113,0.2503556405272716,36
shar,sho,34,118,24,124,0.24910094751181105,6
sal,qol,48,147,42,143,0.24907996524573497,12
sho,qoky,118,137,124,113,0.24900499532375428,25
chckhy,daly,141,33,156,25,0.24897004791035257,9
daly,qol,33,147,25,143,0.24876497210691012,6
or,am,390,115,407,39,0.24863514552967994,18
shor,sheo,91,46,87,35,0.24846359494186787,9
dy,sar,204,77,144,49,0.2480694691784169,10
or,qoky,390,137,407,113,0.2480396373336642,34
chdy,sor,108,43,112,47,0.247900273203854,17
chy,shedy,197,255,151,298,0.2476786756350246,33
chey,ches,510,44,581,45,0.2473545034708995,25
cheo,oty,75,114,58,79,0.24735404619990822,7
dair,chl,93,33,76,30,0.2471557663714904,6
shody,shckhy,50,55,44,67,0.24708310555370042,7
cthey,shor,47,91,47,87,0.2470371510050836,16
kol,kal,35,30,32,27,0.24695729028681548,10
kchy,dy,36,204,35,144,0.24692963394647596,11
char,shedy,79,255,74,298,0.24689222553025994,25
kal,cthey,30,47,27,47,0.24670685574572424,8
char,air,79,95,74,76,0.24668859551648253,12
sho,shckhy,118,55,124,67,0.24654082828843832,16
sho,air,118,95,124,76,0.2464833637043196,19
chor,chcthy,215,84,199,88,0.24617262262717163,29
ain,shedy,149,255,105,298,0.24611520845383555,27
ckhy,qoky,38,137,29,113,0.24601904161611438,13
oly,chos,65,42,37,44,0.24600832214103602,6
am,cthor,115,45,39,41,0.24575816200113804,8
ain,shor,149,91,105,87,0.2455662208949253,18
ol,shedy,588,255,628,298,0.2455498892062092,54
sar,qol,77,147,49,143,0.2452300782971023,11
r,air,196,95,180,76,0.24512835377959713,16
o,key,114,33,86,36,0.24509756329670146,7
d,oty,53,114,32,79,0.24499797877501261,3
cthol,oty,55,114,40,79,0.24499797877501261,9
shar,oly,34,65,24,37,0.24494897427831783,5
cho,dal,77,190,58,138,0.24486450258353398,16
cthy,sor,100,43,71,47,0.2446364538156959,8
chdy,l,108,156,112,144,0.24458276182316924,24
cthy,qo,100,51,71,56,0.24428388199487056,9
s,qol,328,147,285,143,0.24424889618857276,26
chy,o,197,114,151,86,0.24367150085844935,18
chal,cheo,59,75,55,58,0.2436291318453774,9
sho,sol,118,63,124,76,0.24362007512131903,14
dol,sar,97,77,91,49,0.24356716713362486,8
she,dor,41,63,34,69,0.24336521425332303,8
chol,char,367,79,365,74,0.24335204142700156,24
dol,cthor,97,45,91,41,0.24320013619211442,12
sho,key,118,33,124,36,0.24308621740219885,13
sho,cthy,118,100,124,71,0.24297615248570162,14
shar,cthy,34,100,24,71,0.24293289905367477,7
al,cheo,311,75,250,58,0.2428073374782089,18
l,shedy,156,255,144,298,0.24268941485623166,28
she,qoky,41,137,34,113,0.24257804639377287,13
cthol,ody,55,38,40,29,0.242510945756184,4
chol,chl,367,33,365,30,0.2424517462079429,15
oly,o,65,114,37,86,0.24235895708157745,7
shody,qo,50,51,44,56,0.24216622497673068,9
chal,chedy,59,341,55,408,0.24204348268201015,22
s,chol,328,367,285,365,0.2419198813769217,39
or,cthol,390,55,407,40,0.24162989450763755,13
ar,sal,449,48,400,42,0.2413143098561454,27
chdy,tar,108,43,112,36,0.24130758866434224,16
oky,shedy,103,255,92,298,0.24127933703528853,17
ol,key,588,33,628,36,0.24108673004896572,17
chor,cho,215,77,199,58,0.24096043093301087,15
dair,shy,93,94,76,82,0.24090602791485788,12
oly,chedy,65,341,37,408,0.2407564476585048,16
shey,kar,344,58,382,47,0.24045535305260932,19
cthol,cheo,55,75,40,58,0.24038492406450115,5
cthy,sol,100,63,71,76,0.2403186334239659,8
chol,d,367,53,365,32,0.2400355634587415,11
shol,air,176,95,179,76,0.2398932329441136,18
chdy,kol,108,35,112,32,0.23985080590006172,11
dain,o,173,114,145,86,0.23979242123400232,16
ches,l,44,156,45,144,0.23948443614231746,17
ckhy,shedy,38,255,29,298,0.239259314512798,13
she,dar,41,287,34,245,0.23905983443422976,13
kol,shcthy,35,30,32,36,0.23904572186687872,7
dor,chl,63,33,69,30,0.239037978617541,6
chy,cheo,197,75,151,58,0.23858071072575654,17
cho,dy,77,204,58,144,0.23786329554687718,18
d,qo,53,51,32,56,0.23741786762424572,6
char,shey,79,344,74,382,0.23728616385496953,26
char,chedy,79,341,74,408,0.23706383127039538,24
al,sar,311,77,250,49,0.23682046695465142,15
dy,tar,204,43,144,36,0.23639448585188372,9
dain,chl,173,33,145,30,0.23638294399772306,10
chal,key,59,33,55,36,0.235935052808204,9
ckhey,she,32,41,32,34,0.23570226039551578,4
ckhy,dor,38,63,29,69,0.2355984039197113,7
ckhy,cthor,38,45,29,41,0.23558612229514372,5
char,shckhy,79,55,74,67,0.23557972217023582,13
kol,shedy,35,255,32,298,0.23519361904315642,12
r,dol,196,97,180,91,0.2349188826162229,17
sho,kar,118,58,124,47,0.23487544638750346,12
shody,al,50,311,44,250,0.23486598132172995,15
ckhey,key,32,33,32,36,0.2345207879911715,7
tol,kar,42,58,46,47,0.23447857265779773,10
ckhy,shckhy,38,55,29,67,0.2344036154692477,6
chor,shckhy,215,55,199,67,0.2343369729077076,17
char,cthol,79,55,74,40,0.23433321342066496,7
kol,sheo,35,46,32,35,0.23426064283290915,6
she,oky,41,103,34,92,0.234260642832909,10
oky,cheo,103,75,92,58,0.23411436705040875,9
dain,d,173,53,145,32,0.2340723847883247,8
oky,chos,103,42,92,44,0.23356735737410164,6
chdy,sheo,108,46,112,35,0.23307450537420946,14
chy,qol,197,147,151,143,0.2329706992772181,30
char,she,79,41,74,34,0.23289856534925615,10
r,oky,196,103,180,92,0.23273486814169694,15
shckhy,air,55,95,67,76,0.23245932317735454,8
y,key,210,33,185,36,0.23244816439097035,20
chey,sor,510,43,581,47,0.2324463717246923,18
chdy,ches,108,44,112,45,0.23242568374889833,15
kol,ckhy,35,38,32,29,0.23241742005034205,6
cthor,sol,45,63,41,76,0.23236039453267313,7
dar,shckhy,287,55,245,67,0.23206143987291655,18
chal,oty,59,114,55,79,0.23175081423308572,11
s,oky,328,103,285,92,0.23171942083731745,23
d,l,53,156,32,144,0.23158139325007704,6
kar,chedy,58,341,47,408,0.23153601105763996,18
o,qol,114,147,86,143,0.2314132566309868,16
cthol,chcthy,55,84,40,88,0.23122932520643197,10
dor,oty,63,114,69,79,0.23120498163078693,14
shar,qol,34,147,24,143,0.23088775810979725,12
chey,sal,510,48,581,42,0.23084086888824373,25
s,air,328,95,285,76,0.23082805676939186,21
she,dal,41,190,34,138,0.23077032317571303,12
sal,l,48,156,42,144,0.23075856355260418,17
cthor,ches,45,44,41,45,0.23068188848261098,9
kar,chl,58,33,47,30,0.23047075540228085,9
kol,dol,35,97,32,91,0.23038639162770919,8
shor,shckhy,91,55,87,67,0.23021648930300442,14
shey,dor,344,63,382,69,0.23016609627147602,20
ckhy,dair,38,93,29,76,0.23006608383332589,6
shy,oly,94,65,82,37,0.23002185311411805,7
chos,chl,42,33,44,30,0.22995346974509814,3
qoky,o,137,114,113,86,0.22995300388661694,17
am,chcthy,115,84,39,88,0.22967628561139872,9
chor,ody,215,38,199,29,0.22964463626612852,10
shor,key,91,33,87,36,0.22941573387056174,11
chor,sheo,215,46,199,35,0.22918220960702457,16
sheo,chedy,46,341,35,408,0.22906365502414383,20
shy,l,94,156,82,144,0.22880260475305952,20
or,chody,390,80,407,87,0.22869571369836375,25
cthy,shedy,100,255,71,298,0.22841073432747377,18
d,key,53,33,32,36,0.22831650647385776,4
lor,key,38,33,42,36,0.2279211529192759,5
dol,qoky,97,137,91,113,0.22769745810032868,16
chol,kar,367,58,365,47,0.2275760056320156,28
chol,oty,367,114,365,79,0.22717400622377046,26
ckhy,kar,38,58,29,47,0.22715445653021024,7
qoky,key,137,33,113,36,0.22698630910313872,13
oky,dol,103,97,92,91,0.22695272126247396,17
chos,oty,42,114,44,79,0.22692055349961612,4
chey,air,510,95,581,76,0.22691235989869776,33
chl,lor,33,38,30,42,0.22687130324325752,3
y,shody,210,50,185,44,0.22664760326226663,13
sal,dor,48,63,42,69,0.22659296517528954,9
shey,sal,344,48,382,42,0.22644168749708604,22
l,key,156,33,144,36,0.2263018502331825,12
al,ody,311,38,250,29,0.22625360485196352,17
chody,ody,80,38,87,29,0.22614240680810566,8
she,key,41,33,34,36,0.2261335084333227,6
char,kol,79,35,74,32,0.22604860754486628,9
cthol,ckhy,55,38,40,29,0.22587697572631282,4
chckhy,ches,141,44,156,45,0.2258285800495035,18
dor,lor,63,38,69,42,0.22577744852354026,8
d,oly,53,65,32,37,0.22576540398538544,4
ain,oty,149,114,105,79,0.22570701396054352,11
qoty,chl,84,33,72,30,0.22555354977384034,10
chor,ckhy,215,38,199,29,0.22549978040207858,8
cthey,oly,47,65,47,37,0.2252415428391155,8
shody,chal,50,59,44,55,0.22522130823072542,8
tol,chl,42,33,46,30,0.22521165181945205,5
chey,daly,510,33,581,25,0.22514476961187213,11
d,tol,53,42,32,46,0.22497885298168288,5
ar,chcthy,449,84,400,88,0.22492822752204142,39
dy,air,204,95,144,76,0.22468814953827954,14
chckhy,sol,141,63,156,76,0.2246551994182465,13
shey,dol,344,97,382,91,0.22456533564591394,27
chol,cho,367,77,365,58,0.22418504416689533,32
char,ody,79,38,74,29,0.223761703759379,5
cthol,shcthy,55,30,40,36,0.22360679774997894,4
oty,sol,114,63,79,76,0.22351196325473557,12
chal,chos,59,42,55,44,0.22350334791897372,8
shor,shedy,91,255,87,298,0.223283940219572,25
cthol,sol,55,63,40,76,0.22324832272893225,6
cthey,air,47,95,47,76,0.2228282589107932,10
sho,sheo,118,46,124,35,0.2227661677149922,13
she,cthol,41,55,34,40,0.22271770159368695,6
chor,chedy,215,341,199,408,0.22260416468793767,32
chol,chcthy,367,84,365,88,0.22259120442898478,40
ain,sar,149,77,105,49,0.22224471321182712,13
ckhy,shcthy,38,30,29,36,0.22223355980148637,2
chody,shcthy,80,30,87,36,0.222101607186349,7
dar,shcthy,287,30,245,36,0.22209103291549753,16
dol,oly,97,65,91,37,0.2219149187318845,6
shody,key,50,33,44,36,0.22160131510697959,6
chdy,cthol,108,55,112,40,0.22159000978262933,11
qo,kar,51,58,56,47,0.2213962109550149,9
shar,tol,34,42,24,46,0.22131333406899528,6
chol,r,367,196,365,180,0.22116371085704561,32
dol,lor,97,38,91,42,0.22104382663862537,5
ckhey,sheo,32,46,32,35,0.22086305214969312,5
s,ain,328,149,285,105,0.22075160740278363,29
chl,sol,33,63,30,76,0.22069164692422386,7
shar,l,34,156,24,144,0.2205890238118694,12
shar,chdy,34,108,24,112,0.22057470084576486,11
qo,ches,51,44,56,45,0.22019275302527214,10
ar,chy,449,197,400,151,0.22017174557839686,47
sho,ckhy,118,38,124,29,0.22013981571160282,6
s,cthol,328,55,285,40,0.21994054525834145,12
shckhy,qol,55,147,67,143,0.21991072189551356,13
qoky,air,137,95,113,76,0.21982481304212909,14
qo,tar,51,43,56,36,0.21976226824788314,7
qo,cthey,51,47,56,47,0.21964027974653352,10
shar,ain,34,149,24,105,0.21953751686551298,8
ckhey,sho,32,118,32,124,0.21926450482675727,9
y,chcthy,210,84,185,88,0.2188611686708065,30
ol,chcthy,588,84,628,88,0.21860437827330456,47
cthey,kar,47,58,47,47,0.2181564290630409,8
shey,sor,344,43,382,47,0.21795703832444857,18
kal,tar,30,43,27,36,0.21780342093451605,8
tol,kal,42,30,46,27,0.21771450342889798,8
ody,key,38,33,29,36,0.21726204731337045,4
chdy,dor,108,63,112,69,0.21697630442571586,16
am,lor,115,38,39,42,0.2166000563609908,6
oty,lor,114,38,79,42,0.21654966521101152,5
shey,dair,344,93,382,76,0.21611392206330504,32
y,ody,210,38,185,29,0.21603703527310653,14
shody,tol,50,42,44,46,0.21597969886241555,8
ain,daly,149,33,105,25,0.2159675632263881,4
sal,qoty,48,84,42,72,0.2158664458881728,6
kal,shckhy,30,55,27,67,0.2158587086009111,7
shor,lor,91,38,87,42,0.21569088156660085,5
d,oky,53,103,32,92,0.21565250004183453,6
ody,shedy,38,255,29,298,0.2156012741520128,9
dy,cheo,204,75,144,58,0.21532092039124126,11
dain,sheo,173,46,145,35,0.21526016427337652,13
chy,ckhy,197,38,151,29,0.2152143859706937,11
shey,cthor,344,45,382,41,0.21503378703732237,17
chdy,lor,108,38,112,42,0.21488612374010135,11
oly,ody,65,38,37,29,0.21483446221182992,6
shar,chy,34,197,24,151,0.21457671231432807,11
cthey,sheo,47,46,47,35,0.21452116007007208,10
kal,oty,30,114,27,79,0.21403708355411527,7
shody,ody,50,38,44,29,0.2139802462554565,5
sor,shy,43,94,47,82,0.2139203233961298,9
dain,cho,173,77,145,58,0.21365557202191668,14
she,l,41,156,34,144,0.21357350756531204,11
cthey,shcthy,47,30,47,36,0.2134304585735135,9
qoty,air,84,95,72,76,0.21335229882506598,9
chal,dol,59,97,55,91,0.2133481715034914,6
shey,sol,344,63,382,76,0.213286607780277,21
cheo,sol,75,63,58,76,0.2132117046672454,5
sal,air,48,95,42,76,0.2130071614211525,11
ain,ckhy,149,38,105,29,0.212930924138164,9
she,dol,41,97,34,91,0.21266436150250076,10
chedy,air,341,95,408,76,0.21253645782473568,20
kal,o,30,114,27,86,0.21236443512062636,7
oly,cheo,65,75,37,58,0.21229381566543043,5
chckhy,chl,141,33,156,30,0.21226112837853892,17
ar,kal,449,30,400,27,0.21219282746826043,16
shy,shcthy,94,30,82,36,0.21209194514945376,6
chal,ody,59,38,55,29,0.21204880838762144,8
kal,cthor,30,45,27,41,0.2118128051888567,4
chy,dol,197,97,151,91,0.21175577796590622,20
sho,kal,118,30,124,27,0.21163431169320365,10
chy,kal,197,30,151,27,0.21108742753997553,12
sar,key,77,33,49,36,0.21103178186108743,5
ckhey,oly,32,65,32,37,0.21081851067789192,5
chy,ches,197,44,151,45,0.21073423383635598,16
qo,daly,51,33,56,25,0.21060588479355802,7
am,qoty,115,84,39,72,0.21059177179769953,5
al,ches,311,44,250,45,0.21058887218646127,19
shor,ody,91,38,87,29,0.21044962411238535,7
char,qo,79,51,74,56,0.21029989116983452,12
qo,sar,51,77,56,49,0.21026736927252324,5
