token,length,count,line_initial_pct,line_final_pct,pred_types,succ_types,pred_entropy,succ_entropy,behavior_class
sar,3,77,40.25974025974026,18.181818181818183,42,39,5.349648912578752,4.845784486751595,LEFT-EDGE
qody,2,14,21.428571428571427,14.285714285714286,11,12,3.4594316186372973,3.584962500721156,MIXED
rol,3,19,0.0,36.8421052631579,14,12,3.6818808028034025,3.584962500721156,MIXED
ram,3,12,0.0,91.66666666666667,12,1,3.584962500721156,-0.0,MIXED
ot,2,16,0.0,6.25,16,14,4.0,3.773557262275186,MIXED
choy,3,23,0.0,8.695652173913043,23,21,4.523561956057013,4.392317422778761,MIXED
daly,3,33,3.0303030303030303,48.484848484848484,30,17,4.875,4.087462841250339,RIGHT-EDGE
dary,3,18,22.22222222222222,77.77777777777777,14,4,3.807354922057604,2.0,MIXED
shcthy,3,30,0.0,3.3333333333333335,26,28,4.589898095464288,4.789015477886192,MIXED
oldy,3,21,9.523809523809524,57.142857142857146,19,9,4.247927513443585,3.169925001442312,RIGHT-EDGE
cthody,3,15,0.0,13.333333333333334,15,13,3.906890595608519,3.7004397181410926,MIXED
ockhy,3,12,8.333333333333334,41.666666666666664,11,7,3.4594316186372973,2.8073549220576037,MIXED
tor,3,17,52.94117647058823,5.882352941176471,8,13,3.0,3.625,MIXED
yky,3,18,11.11111111111111,44.44444444444444,16,10,4.0,3.3219280948873626,MIXED
dl,2,24,8.333333333333334,25.0,21,17,4.3685225277282065,4.058813890331201,MIXED
qor,2,22,31.818181818181817,9.090909090909092,13,15,3.640223928941852,3.784183719779189,LEFT-EDGE
oy,2,12,8.333333333333334,25.0,11,9,3.4594316186372973,3.169925001442312,MIXED
m,1,13,0.0,38.46153846153846,10,6,3.085055102756477,2.5,MIXED
g,1,14,0.0,78.57142857142857,14,3,3.807354922057604,1.584962500721156,MIXED
qol,2,147,12.92517006802721,6.122448979591836,81,80,5.918155217245465,5.902585033409245,MIXED
om,2,20,5.0,70.0,17,6,3.997670276487613,2.584962500721156,RIGHT-EDGE
qok,2,21,19.047619047619047,9.523809523809524,16,17,3.9698157824268097,4.037401197654112,MIXED
l,1,156,7.6923076923076925,8.974358974358974,109,95,6.494340192309365,6.236024542308525,MIXED
qockhy,3,18,5.555555555555555,0.0,17,17,4.087462841250339,4.058813890331201,MIXED
ok,2,13,7.6923076923076925,7.6923076923076925,11,10,3.4182958340544896,3.188721875540867,MIXED
shedy,3,255,2.3529411764705883,5.098039215686274,159,146,6.940774197212008,6.717573075342986,BROAD-CONTEXT
chedy,3,341,1.7595307917888563,8.79765395894428,173,191,6.878326532187676,7.135574963560062,BROAD-CONTEXT
ly,2,17,0.0,64.70588235294117,15,6,3.85216872360328,2.584962500721156,MIXED
shes,3,12,8.333333333333334,8.333333333333334,11,10,3.4594316186372973,3.2776134368191157,MIXED
shdy,2,29,10.344827586206897,6.896551724137931,26,26,4.700439718141092,4.680813428089394,MIXED
ched,3,25,0.0,0.0,23,22,4.483856189774725,4.373660689688186,MIXED
lo,2,19,0.0,52.63157894736842,18,7,4.142664355548848,2.6416041678685938,MIXED
ldy,2,20,0.0,70.0,19,6,4.221928094887363,2.584962500721156,RIGHT-EDGE
ary,3,32,3.125,78.125,27,7,4.671780584510634,2.8073549220576037,RIGHT-EDGE
chdal,3,15,6.666666666666667,0.0,14,15,3.807354922057604,3.906890595608519,MIXED
air,3,95,4.2105263157894735,5.2631578947368425,61,74,5.5071501344188984,6.044467957368671,MIXED
lor,3,38,7.894736842105263,13.157894736842104,32,24,4.957854445516395,4.389556529224005,MIXED
aly,3,39,0.0,53.84615384615385,34,17,4.97770991116994,4.058813890331201,RIGHT-EDGE
key,3,33,0.0,3.0303030303030303,30,32,4.862575937540272,5.0,MIXED
lchdy,3,14,0.0,28.571428571428573,13,10,3.6644977792004614,3.3219280948873626,MIXED
kedy,3,25,0.0,4.0,22,24,4.403856189774725,4.584962500721156,MIXED
shed,3,22,4.545454545454546,0.0,17,22,3.916126946588284,4.459431618637297,MIXED
tedy,3,22,9.090909090909092,0.0,19,21,4.221928094887363,4.3685225277282065,MIXED
shee,3,19,0.0,0.0,19,18,4.247927513443585,4.142664355548848,MIXED
che,2,22,0.0,4.545454545454546,21,20,4.3685225277282065,4.297079327540665,MIXED
k,1,13,23.076923076923077,23.076923076923077,7,7,2.5219280948873624,2.5219280948873624,MIXED
ls,2,16,0.0,31.25,16,8,4.0,2.8453509366224368,MIXED
tal,3,24,8.333333333333334,8.333333333333334,19,21,4.095795255000933,4.3685225277282065,MIXED
shal,3,16,0.0,0.0,16,16,4.0,4.0,MIXED
ral,3,16,6.25,50.0,14,7,3.773557262275186,2.75,MIXED
rar,3,15,0.0,20.0,12,11,3.456564762130954,3.4182958340544896,MIXED
chdar,3,19,0.0,0.0,19,17,4.247927513443585,4.037401197654112,MIXED
ror,3,15,0.0,40.0,14,8,3.773557262275186,2.94770277922009,MIXED
lchy,3,13,7.6923076923076925,53.84615384615385,12,6,3.584962500721156,2.584962500721156,MIXED
lky,3,21,0.0,28.571428571428573,21,15,4.392317422778761,3.906890595608519,MIXED
