a,b,family,support_a,support_b,TV,top_a,top_a_pct,top_b,top_b_pct,different_top
ol,qol,LF0014,23,8,0.5760869565217391,e·y,47.82608695652174,e·DY,50.0,True
chey,chckhy,LF0001,24,10,0.5750000000000001,e·y,29.166666666666668,a·l,40.0,True
or,dain,LF0010,10,8,0.575,DY,60.0,y,50.0,True
ol,al,LF0002,40,11,0.5681818181818182,e·y,32.5,a·r,27.272727272727273,True
chol,shedy,LF0003,11,8,0.5681818181818181,y,54.54545454545455,DY,75.0,True
y,r,LF0002,14,9,0.5634920634920635,o·l,28.571428571428573,e·y,33.333333333333336,True
ar,shedy,LF0004,9,8,0.5416666666666666,a·r,33.333333333333336,e·DY,50.0,True
dar,qol,LF0014,9,8,0.5416666666666666,a·r,22.22222222222222,e·DY,50.0,True
ar,chol,LF0002,15,12,0.5333333333333333,e·y,26.666666666666668,o·l,33.333333333333336,True
or,chor,LF0002,23,12,0.532608695652174,e·y,30.434782608695652,k·y,33.333333333333336,True
shey,shedy,LF0020,14,11,0.5324675324675325,r,64.28571428571429,l,63.63636363636363,True
dy,shedy,LF0001,8,35,0.5321428571428571,a·l,25.0,e·y,31.428571428571427,True
dor,l,LF0002,9,14,0.5317460317460317,e·y,33.333333333333336,e·s,21.428571428571427,True
ain,shedy,LF0003,9,8,0.5277777777777778,y,55.55555555555556,DY,75.0,True
s,r,LF0030,17,14,0.5168067226890757,r,52.94117647058823,n,85.71428571428571,True
shey,chckhy,LF0001,27,10,0.5148148148148148,a·r,33.333333333333336,a·l,40.0,True
y,ol,LF0002,14,40,0.5107142857142857,o·l,28.571428571428573,e·y,32.5,True
al,dor,LF0002,11,9,0.505050505050505,a·r,27.272727272727273,e·y,33.333333333333336,True
y,l,LF0002,14,14,0.5,o·l,28.571428571428573,e·s,21.428571428571427,True
chor,chol,LF0067,8,8,0.5,r,37.5,l,87.5,True
chey,dy,LF0001,24,8,0.5,e·y,29.166666666666668,a·l,25.0,True
qol,l,LF0026,8,8,0.5,y,62.5,s,37.5,True
or,chol,LF0002,23,12,0.4963768115942029,e·y,30.434782608695652,o·l,33.333333333333336,True
chol,l,LF0002,12,14,0.4880952380952381,o·l,33.333333333333336,e·s,21.428571428571427,True
s,al,LF0002,20,11,0.48636363636363633,o·l,25.0,a·r,27.272727272727273,True
chckhy,shedy,LF0001,10,35,0.4857142857142857,a·l,40.0,e·y,31.428571428571427,True
