a,b,count_a,count_b,succ_cos,pred_cos,score
chy,shedy,197,255,0.3164064989626157,0.4997838914536457,0.3714197167099247
qo,sol,51,63,0.3849414990482029,0.3397433870652987,0.37138206545333163
shckhy,qoky,55,137,0.3284776535526593,0.4713656248447891,0.3713440449402982
qo,oty,51,114,0.39614100434132365,0.31301734579838036,0.3712039067784407
chdy,shcthy,108,30,0.3897008629054065,0.32801110805887096,0.3711939364514458
shody,kchy,50,36,0.4344458312243804,0.22349186235418195,0.37115964056332085
sho,dam,118,59,0.3357023658411905,0.45291610680330463,0.3708664881298247
ar,shedy,449,255,0.3046526003181491,0.5250972498989726,0.37078599519239613
shody,al,50,311,0.4026470311329784,0.29567998755264996,0.37055691805887986
ckhey,qoty,32,84,0.42110836012091785,0.25238087776236073,0.3704901154133507
shor,sol,91,63,0.41441957723763784,0.2677824371959891,0.37042843522514324
kchy,ody,36,38,0.4497239480711412,0.18526652716909367,0.3703867218005269
ar,shar,449,34,0.4038927185487998,0.29205845238653055,0.370342438700119
sy,tol,40,42,0.36832983983792655,0.37444189408166756,0.37016345611104884
cthey,chedy,47,341,0.4151277633192379,0.2649946280532109,0.37008782273942975
dy,lor,204,38,0.41563645144259675,0.2637228538554928,0.37006237216646554
char,shedy,79,255,0.3347767694481908,0.45237688738775467,0.3700568048300599
sheo,shckhy,46,55,0.3972721259049042,0.30549414251037627,0.3697387308865458
ar,qol,449,147,0.4606182744260629,0.15732296741420304,0.3696296823225049
chy,shcthy,197,30,0.3875959332811761,0.3272470568363909,0.36949127034774054
chal,shcthy,59,30,0.36979194499878715,0.3685528437251513,0.3694202146166964
oly,kar,65,58,0.37219178861143404,0.3629291640739634,0.36941300125019283
she,oty,41,114,0.4124789556921528,0.2687727775838716,0.36936710225966846
chl,chedy,33,341,0.2970043673838168,0.5377478891757534,0.36922742392139773
dol,o,97,114,0.3808618346860363,0.3417606491346369,0.36913147902061644
qoty,shcthy,84,30,0.39993217393873826,0.2972045388783953,0.36911388342063534
chal,cthol,59,55,0.369961475056023,0.3671127475036635,0.3691068567903152
dol,shcthy,97,30,0.4049482654092694,0.2853797262011165,0.3690777036468235
chal,lol,59,35,0.3845398451073816,0.3326408923212881,0.3689701592715535
cthey,qol,47,147,0.3859906884727893,0.3285956701880373,0.3687721829873637
am,chody,115,80,0.3549648396947901,0.40097710460102015,0.3687685191666591
shey,dam,344,59,0.2980393055790667,0.5334739889846701,0.3686697106007477
shey,ody,344,38,0.34957437613257775,0.4132232058370442,0.3686690250439177
she,shedy,41,255,0.3201015547975162,0.4819276594504993,0.3686493861934111
dair,shor,93,91,0.3624897017209143,0.3827918366569029,0.3685803422017109
qo,cheo,51,75,0.42056317600679205,0.2471449430047247,0.3685377061061718
cthey,o,47,114,0.36221983513538664,0.3830422265646225,0.3684665525641574
ckhy,tar,38,43,0.39527668949434186,0.30585817832069445,0.3684511361422476
tol,chedy,42,341,0.3797940875728466,0.34094365457352693,0.36813895767305066
shy,chos,94,42,0.37792084888172095,0.3452324275860024,0.3681143224930054
she,l,41,156,0.4369291024811635,0.2068323119417223,0.36790006531933117
ckhey,dol,32,97,0.4206936808141086,0.24462340758184858,0.3678725988444306
qo,chos,51,42,0.35901684868972056,0.3882104355109484,0.36777492473608886
am,dy,115,204,0.3798554257779024,0.33927796805948746,0.3676821884623779
or,chody,390,80,0.3021184760318455,0.5205254290270743,0.36764056193041417
sy,sar,40,77,0.3665685502036438,0.3700978284148702,0.3676273336670117
al,sal,311,48,0.41550405470314167,0.25544942647773544,0.36748766623551976
d,shy,53,94,0.36516017498792575,0.3726708171828293,0.3674133676463968
kchy,ckhy,36,38,0.4382993913529017,0.20200211908568658,0.36741020967273713
cthy,al,100,311,0.425562591835778,0.23171595640040896,0.3674086012051673
chody,cheo,80,75,0.34140645502547223,0.42806218360159326,0.36740317359830854
sheo,chos,46,42,0.3720364745708927,0.35618810406519813,0.3672819634191843
char,am,79,115,0.3292116170954892,0.4558465734321944,0.3672021039965008
oly,ches,65,44,0.3413199153487697,0.4271484532395878,0.3670684767160151
chody,qol,80,147,0.4348620050740642,0.20868960539143752,0.36701028516927614
sy,o,40,114,0.32958585805811963,0.45394296289755776,0.3668929895099511
shar,cho,34,77,0.38204658872917047,0.33066924072550935,0.36663338432807213
ckhey,cheo,32,75,0.4074887368528071,0.2711842834383547,0.36659740082847136
shody,kol,50,35,0.4075875158891833,0.27093788200865526,0.3665926257250248
shar,tar,34,43,0.3246440397621749,0.4642620304683048,0.36652943697401386
chy,l,197,156,0.4191126768469527,0.24374204082089543,0.36650148603913546
chol,r,367,196,0.391723821298441,0.30748650515825415,0.36645262645638493
dain,d,173,53,0.3897267873501808,0.31164725119618714,0.36630292650398266
