a,b,count_a,count_b,family_obs_a,family_obs_b,family_cosine,shared_min_count,shared_families
sor,chl,43,33,45,28,0.34030695486488627,7,7
ain,oly,149,65,107,33,0.340274378071606,12,10
shor,shy,91,94,85,77,0.340018915848811,21,16
oty,shcthy,114,30,79,33,0.3398792510220617,12,11
dar,cthol,287,55,242,43,0.33977858316756177,24,18
y,sho,210,118,176,124,0.3396919011003888,36,24
chy,sheo,197,46,157,33,0.3396160046702127,17,16
shol,cthor,176,45,181,42,0.3394853765985539,20,15
kal,kar,30,58,27,47,0.3394221166510653,9,8
cthey,cthor,47,45,50,42,0.3394117682580493,13,12
l,lor,156,38,137,39,0.3393611149734303,20,9
cthey,dy,47,204,50,144,0.33900469312870585,22,20
she,chcthy,41,84,39,94,0.3388154635894693,16,14
chdy,ody,108,38,113,24,0.33833247622547924,15,14
ckhey,oty,32,114,32,79,0.3382628692414866,12,11
kchy,al,36,311,36,245,0.33796318470968734,19,14
cheo,l,75,156,62,137,0.3379048160246239,23,17
chdy,she,108,41,113,39,0.3375970120471613,20,17
ar,air,449,95,388,70,0.3375096947248716,43,33
ol,shckhy,588,55,609,64,0.3374021796758267,44,33
dal,chl,190,33,139,28,0.3373675882951813,14,14
chal,oly,59,65,57,33,0.33734849075542495,11,11
chor,oly,215,65,199,33,0.33720711399818376,17,16
dal,shckhy,190,55,139,64,0.33702547044534725,25,20
char,al,79,311,75,245,0.33655953488297236,36,30
ain,chey,149,510,107,580,0.33634415095336945,63,39
chey,kar,510,58,580,47,0.3362504806220226,31,25
ain,chcthy,149,84,107,94,0.33599402682595086,25,22
oky,cthey,103,47,90,50,0.3359684204526464,17,16
shy,oty,94,114,77,79,0.3357079936684094,22,20
sho,kchy,118,36,124,36,0.3354101966249684,14,11
chey,kal,510,30,580,27,0.3352506190911042,22,20
chal,shor,59,91,57,85,0.33515484051895716,17,14
shol,key,176,33,181,36,0.3349453174041541,18,17
dol,tar,97,43,89,35,0.33450833881291886,9,7
